doc_id,title,url,filename,text_path
1,The StackOverflowError in Java | Baeldung,https://www.baeldung.com/java-stack-overflow-error,dokumen_1.pdf,extracted_text\dokumen_1.txt
2,Explanation of ClassCastException in Java | Baeldung,https://www.baeldung.com/java-classcastexception,dokumen_2.pdf,extracted_text\dokumen_2.txt
3,Avoiding the ConcurrentModificationException in Java | Baeldung,https://www.baeldung.com/java-concurrentmodificationexception,dokumen_3.pdf,extracted_text\dokumen_3.txt
4,Python - Exceptions Handling,https://www.tutorialspoint.com/python/python_exceptions.htm,dokumen_4.pdf,extracted_text\dokumen_4.txt
5,Java - Exceptions,https://www.tutorialspoint.com/java/java_exceptions.htm,dokumen_5.pdf,extracted_text\dokumen_5.txt
6,C++ Exception Handling,https://www.tutorialspoint.com/cplusplus/cpp_exceptions_handling.htm,dokumen_6.pdf,extracted_text\dokumen_6.txt
7,JavaScript - Errors & Exceptions Handling,https://www.tutorialspoint.com/javascript/javascript_error_handling.htm,dokumen_7.pdf,extracted_text\dokumen_7.txt
8,SQL - Injection,https://www.tutorialspoint.com/sql/sql-injection.htm,dokumen_8.pdf,extracted_text\dokumen_8.txt
9,C++ Exception Handling (With Examples),https://www.programiz.com/cpp-programming/exception-handling,dokumen_9.pdf,extracted_text\dokumen_9.txt
10,Java Exception Handling (With Examples),https://www.programiz.com/java-programming/exception-handling,dokumen_10.pdf,extracted_text\dokumen_10.txt
11,android studio - Flutter Emulator Error Connecting to Service Protocol - Stack Overflow,https://stackoverflow.com/questions/56093247/flutter-emulator-error-connecting-to-service-protocol,dokumen_11.pdf,extracted_text\dokumen_11.txt
12,Solve Gradle & Flutter Build Errors: Java Version Fixes & Dependency Solutions | Efficient Coder,https://www.xugj520.cn/en/archives/gradle-flutter-build-errors-java-fix.html,dokumen_12.pdf,extracted_text\dokumen_12.txt
13,"Fix ""Unresolved Reference"" Error in Dart Project - Free Source Code and Learn Coding",https://aliendro.id/fix-unresolved-reference-error-in-dart-project/,dokumen_13.pdf,extracted_text\dokumen_13.txt
14,How to solve “Unable to find git in your path” for flutter. | by Mutee Abdullah | Medium,https://medium.com/@mutee.abdullah.02/how-to-solve-unable-to-find-git-in-your-path-for-flutter-85926e971d00,dokumen_14.pdf,extracted_text\dokumen_14.txt
15,"Resolving the ""CocoaPods Not Installed or Not in Valid State"" Error - Repeato",https://www.repeato.app/resolving-the-cocoapods-not-installed-or-not-in-valid-state-error/,dokumen_15.pdf,extracted_text\dokumen_15.txt
16,Exception: Gradle task assembleDebug failed with exit code 1 (again) i – Omi AI,https://www.omi.me/blogs/flutter-errors/exception-gradle-task-assembledebug-failed-with-exit-code-1-again-in-flutter-causes-and-how-to-fix,dokumen_16.pdf,extracted_text\dokumen_16.txt
17,FAILURE: Build failed with an exception. Exception: Gradle task assembleDebug failed with exit code 1 - Help/Discuss - Gradle Forums,https://discuss.gradle.org/t/failure-build-failed-with-an-exception-exception-gradle-task-assembledebug-failed-with-exit-code-1/44252,dokumen_17.pdf,extracted_text\dokumen_17.txt
18,Int Object is Not Iterable – Python Error [Solved],https://www.freecodecamp.org/news/int-object-is-not-iterable-python-error-solved/,dokumen_18.pdf,extracted_text\dokumen_18.txt
19,How to Fix TypeError: Int Object Is Not Iterable in Python | Rollbar,https://rollbar.com/blog/python-typeerror-int-object-not-iterable/,dokumen_19.pdf,extracted_text\dokumen_19.txt
20,Python typeerror: ‘int’ object is not iterable Solution | Career Karma,https://careerkarma.com/blog/python-typeerror-int-object-is-not-iterable/,dokumen_20.pdf,extracted_text\dokumen_20.txt
21,How to Fix: PermissionError: [Errno 13] Permission Denied in Python - GeeksforGeeks,https://www.geeksforgeeks.org/python/how-to-fix-permissionerror-errno-13-permission-denied-in-python/,dokumen_21.pdf,extracted_text\dokumen_21.txt
22,PermissionError [Errno 13] Permission denied Python 2023 - Python Help - Discussions on Python.org,https://discuss.python.org/t/permissionerror-errno-13-permission-denied-python-2023/22360,dokumen_22.pdf,extracted_text\dokumen_22.txt
23,"""PermissionError: [Errno 13] Permission denied""in windows - Python Help - Discussions on Python.org",https://discuss.python.org/t/permissionerror-errno-13-permission-denied-in-windows/56571,dokumen_23.pdf,extracted_text\dokumen_23.txt
24,"Solution to: error: <class 'PermissionError'>, [Errno 13] Permission denied - Frappe Framework / App Development - Frappe Forum",https://discuss.frappe.io/t/solution-to-error-class-permissionerror-errno-13-permission-denied/100667,dokumen_24.pdf,extracted_text\dokumen_24.txt
